nome do produto;descrição do produto;composição;tamanhos;fotos
 Colete Jeans com Aplicação em Moletom Rosa  ; Colete Jeans com detalhe costas em Moletom para compor os looks das garotas. Elaborado em 50% algodão e 50% poliéster, o modelo promete dar um up nas produções das meninas.A peça conta com abertura frontal por zíper, estama costas em lettering, bolso fake frontal e aplicação de patch. Ref.: F9937 ; Jeans: 100% algodão | Moletom: 50% algodão e 50% poliéster ;['4', '6', '8', '10', '12', '14', '16'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/8239/f9937-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/8238/f9937-2.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/9169/f9937-2.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/9168/f9937-1.jpg']
 Blusa Azul Estampa Good Vibes Momi  ;" Uma cor bem vibrante para combinar nos looks mais alegres e fashionistas das girls. Essa blusa é elaborada em 100% algodão e conta com modelagem ampla. Sua estampa frontal em lettering, conta com um arco-íris super fofo e bordado sobrepondo a estampa. É uma peça que dá um ""UP"" em qualquer look. Ref.: H3062 "; 100% algodão ;['4', '6', '8', '10', '12', '14', '16'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/8258/h3062-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/8257/h3062-2.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/8259/h3062.png']
 Blusa Off White Manga Curta Estampa de Gato  ; Blusinha Off White para combinar com muitos looks fofos. Essa peça, elaborada em 96% algodão e 4% elastano, conta com detalhes incríveis, como mangas em tela furadinha e estampa frontal de gatinho abduzido. As meninas irão fazer as mais diversas combinações com shorts, saias e calças, para todos os passeios. Ref.: F9920 ; 96% algodão e 4% elastano ;['4', '6', '8', '10', '12', '14', '16'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/9230/f9920-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/9229/f9920-2.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/9228/f9920-3.jpg']
 Blusa Manga Curta com Estampa de Óculos Momi  ; Uma blusa curinga no armário das Momi Girls. Blusa branca elaborada em cotton composto em 96% algodão e 4% elastano. O modelo conta com mangas em tela, estampa frontal de óculos e gatinhos, com aplicação de strass e gola com costura contrastante. Ref.: J3919 ; Cotton 96% algodão e 4% elastano ;['1', '2', '3', '4', '6', '8'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/8527/j3919-10.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/8526/j3919-09.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/8525/j3919-08.jpg']
 Blusa Branca Manga Curta com Estampa de Ursinho  ; Blusa de ursinho para as produções mais fofas. Elaborada em 96% algodão e 4% elastano, o modelo conta com manga curta, modelagem comfy e detalhe canelado na gola e nas mangas. A estampa de ursinho conta com aplicação de strass para ainda mais estilo. Ref.: J3928 ; 96% algodão e 4% elastano ;['1', '2', '3', '4', '6', '8'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/8184/j3928-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/9231/j3928-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/8183/j3928-2.jpg']
 Blusa Branca com Babados nas Mangas  ; Uma regata branca para os looks das Momi Girls. Elaborada em 100% algodão, essa peça garante muito estilo para as produções das meninas. A peça conta com modelagem slim e babados nas mangas, proporcionando maior charme para todas as composições. Combinações com jeans são super modernas. Ref.: H2945 ; 100% algodão ;['4', '6', '8', '10', '12', '14', '16'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/9236/h2945-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/9235/h2945-2.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/9234/h2945-3.jpg']
 Blusa Estampada de Planeta Branca e Rosa  ; Blusa fofa elaborada em 96% algodão e 4% elastano. A peça conta com modelagem comfy, mangas contrastantes e estampa frontal. As meninas irão fazer as mais variadas combinações com shorts, saias, calças e jardineiras. Ref.: J3784 ; 96% algodão e 4% elastano ;['1', '2', '3', '4', '6', '8'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/9233/j3784-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/8487/j3784-10.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/8486/j3784-9.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/8485/j3784-7.jpg']
 Blusa Branca com Estampa Fofa Momi  ; As blusinhas básicas já conquistaram o guarda-roupa das garotas! São peças práticas, versáteis e que vão bem praticamente com tudo. Esse modelo, elaborado em 96% algodão e 4% elastano, conta com mangas curtas, modelagem slim e estampa frontal super colorida. Além de super confortável, também é muito fashion. Ref.: H2814 ; 96% algodão e 4% elastano ;['4', '6', '8', '10', '12', '14', '16'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/9238/h2814-2.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/9239/h2814-11.jpg']
 Regata Branca Arco-Íris com Franjas  ; Uma peça fresquinha e cheia de tendência. A regata é a cara do verão! Elaborada em 100% algodão, o modelo promete um toque a mais de estilo para as produções das meninas. Combinações com jeans são modernas e cheias de estilo Ref.: J3998 ; 100% algodão ;['1', '2', '3', '4', '6', '8'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/8196/j3998-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/9237/j3998-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/8195/j3998-2.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/8194/j3998-3.jpg']
 Blusa Estampa Colorida com Detalhes Neon  ; Blusas coloridas são perfeitar para os looks de verão. Confira esse modelo elaborado em 96% algodão e 4% elastano. Sua estampa multicolorida permite composições de estilosas e modernas. O detalhe em malha canelada rosa neon na gola da peça garante muito estilo. Ref.: J3785 ; 96% algodão e 4% elastano ;['1', '2', '3', '4', '6', '8'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/8515/j3785-11.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/8514/j3785-10.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/07/produto/8513/j3785-9.jpg']
 Blusa Infantil Menina Canelada Off White Momi  ; Essa Blusa Infantil Off White é confeccionada em malha canelada com elastano, conta com modelagem justinha, manga longa e decote redondo. Seu visual básico ganha o destaque da etiqueta decorativa aplicada acima da barra, que finalizada com muita exclusividade. Ref.: F9549 ; 49% Poliéster, 47% Algodão, 4% Elastano ;['4', '6', '8', '10', '12', '14'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/7597/f9549-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/7596/f9549-2.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/7595/f9549-3.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/7594/f9549-4.jpg']
 Blusa Infantil Menina Vermelha Momi  ; Essa Blusa Infantil vermelha é confeccionada em cotton com elastano, conta com modelagem justinha, manga longa e decote redondo. Seu visual básico ganha o destaque da etiqueta decorativa aplicada acima da barra, que finalizada com muita exclusividade. Ref.: F9597 ; 96% Algodão, 4% Elastano ;['4', '6', '8', '10', '12', '14'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/7583/f9597-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/7584/f9597-2.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/7585/f9597-3.jpg']
 Blusa Infantil Menina Verde Neon Malha Canelada Momi  ; Essa Blusa Infantil Verde Neon é confeccionada em malha canelada, conta com modelagem justinha, manga longa e decote redondo. Seu visual básico ganha o destaque da placa de metal personalizada Momi aplicada acima da barra, que finalizada com muita exclusividade. Composição: 49% Poliéster, 47% Algodão e 4% Elastano. Ref.: J3869 ; 49% Poliéster, 47% Algodão, 4% Elastano ;['1', '2', '3', '4', '6', '8'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/7057/j3869-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/7060/j3869-4.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/7058/j3869-2.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/06/produto/7059/j3869-3.jpg']
 Blusa Hey You Off White e Rosa Neon Momi  ;" A Blusa com estampa ""Hey You"" (Ei você) foi desenvolvida em cotton 96% Algodão e 4% Elastano e mangas em malha canelada 49% Poliéster, 47% Algodão e 4% Elastano na cor rosa neon. Uma peça versátil para os dias mais amenos, em seus detalhes possui aplicação de strass na estampa, deixando ela ainda mais charmosa. Ref.: J3703 "; Corpo: 96% Algodão e 4% Elastano - Mangas: 49% Poliéster, 47% Algodão e 4% Elastano ;['1', '2', '3', '4', '6', '8'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/05/produto/6405/j3703-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/05/produto/6406/j3703-2.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/05/produto/6407/j3703-3.jpg']
 Blusa Manga Longa de Patins Rosa Momi  ; Desenvolvido em Cotton 96% Algodão e 4% Elastano, a Blusa com estampa de Patins possui manga longa e é ideal para os dias mais amenos, em sua estampa possui aplicação de strass. Sua modelagem é básica e possui ótimo caimento no corpo, combina com diversas peças como calças, shorts, saias e coletes. Ref.: H2817 ; 96% Algodão e 4% Poliéster ;['4', '6', '8', '10', '12', '14'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/05/produto/6377/h2817-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/05/produto/6378/h2817-2.jpg']
 Blusa Manga Longa Estrelada Momi  ; A Blusa de Manga Longa Momi foi desenvolvida em Cotton 96% Algodão e 4% Elastano, possui estampa estrelada bem colorida para alegrar o look das meninas. Conta com pequenas pregas na manga e modelagem básica com ótimo caimento, na barra possui plaquinha personalizada Momi. Ref.: F9442 ; 96% Algodão e 4% Elastano ;['4', '6', '8', '10', '12', '14'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/05/produto/6399/f9442-1.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/05/produto/6401/f9942-3.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/05/produto/6400/f9442-2.jpg']
 Blusa Infantil Menina Pink Malha Canelada Momi  ; Essa Blusa Infantil Pink é confeccionada em malha canelada , conta com modelagem justinha, manga longa e decote redondo. Seu visual básico ganha o destaque da placa de metal personalizada Momi aplicada acima da barra, que finalizada com muita exclusividade. Ref.: F9348. ; 49% Poliéster, 47% Algodão, 4% Elastano ;['4', '6', '8', '10', '12', '14'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/04/produto/5628/blusa-infantil-menina-pink-malha-canelada-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/04/produto/5630/blusa-infantil-menina-pink-malha-canelada-momi-placa.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/04/produto/5629/blusa-infantil-menina-pink-malha-canelada-momi-gola.jpg']
